"Names";"RAJ2000";"DEJ2000";"constellation";"constellation_short"
"CG11 DN / HMSTG4.9-24.6";"19 40 38";"-34 47 36";"Sagittarius";"Sgr"
"CG7S DN";"02 34 39";"+61 23 18";"Cassiopeia";"Cas"
"CG37 DN";"08 12 28";"-33 05 35";"Puppis";"Pup"
"CG27 DN / HMSTG251.7+0.2";"08 12 25";"-33 45 39";"Puppis";"Pup"
"CG28 DN / FeSt2-9 / HMSTG251.8+0.0 / VMF15 / V15";"08 12 21";"-33 56 15";"Puppis";"Pup"
"CG29 DN / HMSTG251.9+0.0";"08 12 22";"-34 01 03";"Puppis";"Pup"
"CG26 DN / FeSt2-11 / HMSTG252.2+0.7";"08 15 50";"-33 50 16";"Puppis";"Pup"
"CG33 DN / HMSTG252.3+0.5 / VMF19 / V19";"08 15 28";"-34 04 45";"Puppis";"Pup"
"CG32 DN / FeSt2-12 / HMSTG252.5+0.1 / VMF18 / V18";"08 14 21";"-34 30 53";"Puppis";"Pup"
"CG31C DN / BHR10";"08 08 33";"-35 59 34";"Puppis";"Pup"
"CG31D DN / BHR11";"08 08 16";"-36 01 47";"Puppis";"Pup"
"CG31 DN / FeSt2-15 / HMSTG253.1-1.7 / VMF13 / V13";"08 08 56";"-35 59 21";"Puppis";"Pup"
"CG31B DN / BHR9 / LM85 in HMSTG253.1-1.7";"08 08 48";"-36 03 12";"Puppis";"Pup"
"CG31A DN / BHR8 / LM87 in HMSTG253.1-1.7";"08 09 02";"-36 01 10";"Puppis";"Pup"
"CG30 DN / HMSTG253.3-1.6 / BHR12 / LM88 / VMF14 / V14";"08 09 33";"-36 04 57";"Puppis";"Pup"
"CG38 DN";"08 09 39";"-36 10 35";"Puppis";"Pup"
"CG22 DN / HMSTG253.6+2.9";"08 28 46";"-33 45 50";"Pyxis";"Pyx"
"CG34 DN / HMSTG253.8-10.9";"07 29 32";"-41 10 30";"Puppis";"Pup"
"CG9 DN / HMSTG255.1-9.2";"07 40 47";"-41 26 57";"Puppis";"Pup"
"CG8 DN / HMSTG255.1-8.8";"07 42 39";"-41 15 58";"Puppis";"Pup"
"CG2 DN / HMSTG255.3-14.4";"07 16 00";"-43 57 41";"Puppis";"Pup"
"CG10 DN / HMSTG255.8-9.2";"07 42 30";"-42 05 10";"Puppis";"Pup"
"CG1 DN / BDN256.11-14.12 / HMSTG256.2-14.1";"07 19 01";"-44 34 35";"Puppis";"Pup"
"CG36 DN / HMSTG256.9+2.6";"08 37 18";"-36 37 55";"Pyxis";"Pyx"
"CG5 DN / HMSTG257.2-10.3";"07 40 51";"-43 49 09";"Puppis";"Pup"
"CG6 DN / FeSt2-27 / HMSTG259.0-13.2";"07 30 33";"-46 43 40";"Puppis";"Pup"
"CG4 DN / HMSTG259.4-12.7";"07 34 09";"-46 54 19";"Puppis";"Pup"
"CG13 DN / HMSTG259.5-16.4 / KM259.5-16.5";"07 14 12";"-48 29 10";"Puppis";"Pup"
"CG24 DN / HMSTG260.0-3.8 / VMF21 / V21";"08 19 15";"-42 54 47";"Puppis";"Pup"
"CG25 DN / HMSTG260.6-12.7";"07 37 22";"-47 56 32";"Puppis";"Pup"
"CG3 DN / FeSt2-35 / HMSTG260.7-12.4";"07 39 14";"-47 51 57";"Puppis";"Pup"
"CG14 DN / FeSt2-37 / HMSTG262.5-13.4";"07 38 33";"-49 52 55";"Puppis";"Pup"
"CG16 DN / FeSt2-38 / HMSTG262.9-15.5";"07 27 47";"-51 05 11";"Carina";"Car"
"CG15 DN / FeSt2-39 / HMSTG262.9-14.7";"07 32 24";"-50 46 30";"Puppis";"Pup"
"CG7 DN / FeSt2-45 / HMSTG266.0-4.3";"09 14 07";"-42 30 04";"Vela";"Vel"
"CG18 DN / HMSTG269.7-3.9 / VMF24 / V24";"08 52 38";"-50 40 05";"Vela";"Vel"
"CG17 DN / HMSTG270.6-4.7";"08 52 35";"-51 51 53";"Vela";"Vel"
"CG21 DN / SDN149 / HMSTG301.7-7.2 / BHR80";"12 37 08";"-69 59 54";"Musca";"Mus"
"CG20 DN / SDN151 / HMSTG302.0-7.0 / BHR82";"12 40 54";"-69 52 15";"Musca";"Mus"
"CG19 DN / HMSTG302.1+7.4";"12 45 40";"-55 25 23";"Centaurus";"Cen"
"CG12 DN / BDN316.46+21.13 / HMSTG316.5+21.2 /  KM316.5+21.0 rel RN";"13 57 36";"-39 59 36";"Centaurus";"Cen"
