alpha,delta,id,diameter
255.37499999999994,-22.238611111111112,LDN1800,7.0
267.5458333333333,-29.51361111111111,LDN1801,100.0
286.7083333333333,-37.22833333333333,HMSTG0.0-18.9 / CoA6,16.0
251.73333333333326,-19.672222222222224,LDN1799,8.0
279.9916666666666,-34.98583333333333,IREC1,72.0
287.99999999999994,-37.5,Corona Australis DN Complex / R Cra CO Complex,410.0
262.0791666666666,-26.36527777777778,P1,8.0
271.8083333333333,-31.493055555555557,LDN2,67.0
255.575,-22.22111111111111,LDN1802,8.0
270.8041666666667,-30.997777777777777,LDN3,142.0
259.59166666666664,-24.81861111111111,FeSt1-448,92.0
247.21249999999998,-16.109166666666667,LDN1,14.0
271.02916666666664,-31.030277777777776,B295 / FeSt1-449,35.0
259.06249999999994,-24.421111111111113,LDN5,7.0
262.15,-26.289722222222224,LDN7,17.0
257.2541666666666,-23.22972222222222,LDN6,14.0
255.74999999999997,-22.2275,LDN4 / CB70,9.0
267.00833333333327,-28.966666666666665,DBIRDN1,15.0
263.4791666666667,-27.016666666666666,FeSt1-451,37.0
286.6833333333333,-36.98027777777778,FeSt1-450 / HMSTG0.3-18.8,15.0
251.6041666666666,-19.25611111111111,LDN8,17.0
261.19999999999993,-25.616666666666667,B260 / LDN14,10.0
269.44999999999993,-30.104444444444447,LDN10,3.5
262.425,-26.288333333333334,FeSt2-305,6.0
257.50416666666666,-23.22861111111111,LDN9,16.0
287.56666666666666,-37.12444444444444,SLDN42 / FeSt2-306 / HMSTG0.4-19.5 / CoA7,14.0
269.54999999999995,-30.120555555555555,LDN12,3.5
255.99999999999997,-22.16888888888889,LDN13,7.0
257.12916666666666,-22.897222222222222,B57 / LDN11 / CB72 / P2,8.0
256.1708333333333,-22.272499999999997,B51 / LDN15 / P3,19.0
259.00833333333327,-24.054722222222225,LDN16,21.0
262.275,-26.039166666666667,LDN19,48.0
257.2541666666666,-22.89638888888889,LDN18,6.0
256.99999999999994,-22.730833333333333,LDN17,38.0
256.75,-22.54888888888889,FeSt1-452,55.0
256.2916666666666,-22.215555555555554,B52 / FeSt2-308 / CB71,7.0
257.3291666666666,-22.879444444444445,FeSt2-307,6.0
257.12499999999994,-22.730277777777776,LDN20,13.0
262.2708333333333,-25.939166666666665,LDN21,9.0
267.5833333333333,-28.883333333333333,DBIRDN2,19.0
273.65416666666664,-31.8,B305,17.0
251.72916666666666,-18.922222222222224,LDN22,32.0
271.3541666666666,-30.678611111111113,FeSt2-309,6.0
261.85416666666663,-25.5625,B264,11.0
259.3833333333333,-24.01972222222222,LDN24,4.0
259.30833333333334,-23.97,LDN23,3.0
263.1458333333333,-26.26833333333333,LDN25 / P4,4.0
259.91249999999997,-24.300555555555555,FeSt2-310,6.0
291.77916666666664,-37.83861111111111,HMSTG0.8-22.9,16.0
271.3041666666666,-30.495555555555555,LDN26,11.0
271.70416666666665,-30.626944444444444,LDN29,10.0
246.9583333333333,-15.110277777777778,LDN27,112.0
259.76249999999993,-24.051111111111112,LDN28,90.0
258.2541666666666,-23.058333333333334,LDN30,28.0
288.5958333333333,-36.86472222222223,FeSt2-311 / HMSTG0.9-20.2 / CoA9,16.0
257.75,-22.644166666666667,B246 / LDN32,18.0
290.79999999999995,-37.39194444444444,DIR001-22,300.0
244.35000000000002,-12.896666666666667,G1.0+26.0,35.0
252.64166666666662,-19.130555555555556,LDN31 / CB67 / P5,16.0
261.8916666666666,-25.1575,B265 / FeSt2-312,9.0
250.3458333333333,-17.428611111111113,LDN33,34.0
289.06249999999994,-36.86083333333333,FeSt1-453,29.0
262.16666666666663,-25.270833333333332,B267 / LDN36 / CB88,8.0
267.0375,-28.016111111111112,LDN34,300.0
269.1166666666667,-29.072777777777777,B289 / LDN35,16.0
260.00833333333327,-23.883333333333333,LDN37,7.0
271.2958333333333,-30.083333333333332,B298 / LDN41,6.0
